id,item_type,item_type_code
item_type_1,Event & Activation,EA
item_type_2,Renovation,REN
item_type_3,Workshop Equipment,WE
item_type_4,Building,BD
item_type_5,CDM Assets,CDMA
item_type_6,IT Assets,ITA
item_type_7,Marketing Assets,MA
item_type_8,Office Equipment,OE
item_type_9,Tools,TO
item_type_10,Vehicle,VH
item_type_11,Computer Equipment,CE
item_type_12,Furniture,FN
item_type_13,Furniture & Fittings,FF
item_type_14,Machinery and Equipment,ME
item_type_15,Office equipment - others,OEO
item_type_16,Sales Activity,SACT
item_type_17,Workshop Hand-tools,WHT